date,XU100
25.11.2005,36759.89
28.11.2005,36621.47
29.11.2005,37495.22
30.11.2005,38088.65
01.12.2005,38296.91
02.12.2005,38573.71
05.12.2005,39130.73
06.12.2005,38917.82
07.12.2005,38441.59
08.12.2005,38587.77
09.12.2005,37496.18
12.12.2005,38202.19
13.12.2005,37741.7
14.12.2005,37870.57
15.12.2005,37631.57
16.12.2005,37716.7
19.12.2005,37960.13
20.12.2005,37729.42
21.12.2005,38210.24
22.12.2005,38353.12
23.12.2005,38919.51
26.12.2005,39139.08
27.12.2005,39015.86
28.12.2005,39220.17
29.12.2005,39837.27
30.12.2005,39777.7
02.01.2006,39790.72
03.01.2006,40665.44
04.01.2006,41362.47
05.01.2006,41722.4
06.01.2006,41905.41
09.01.2006,0
10.01.2006,0
11.01.2006,0
12.01.2006,0
13.01.2006,0
16.01.2006,43628.83
17.01.2006,44076.91
18.01.2006,42622.9
19.01.2006,43645.23
20.01.2006,44465.68
23.01.2006,43851.42
24.01.2006,44434.54
25.01.2006,45746.17
26.01.2006,45784.09
27.01.2006,45315.15
30.01.2006,44891.25
31.01.2006,44590.22
01.02.2006,45250.66
02.02.2006,44841.03
03.02.2006,44228.02
06.02.2006,44855.61
07.02.2006,44652.96
08.02.2006,43842.68
09.02.2006,44117.47
10.02.2006,44772.93
13.02.2006,44046.29
14.02.2006,43507.51
15.02.2006,43803.98
16.02.2006,45361.34
17.02.2006,46244.32
20.02.2006,46689.01
21.02.2006,46710.93
22.02.2006,46265.39
23.02.2006,46553.57
24.02.2006,46838.1
27.02.2006,47728.5
28.02.2006,47015.88
01.03.2006,47492.97
02.03.2006,46890.8
03.03.2006,46366.23
06.03.2006,45997.07
07.03.2006,43889.75
08.03.2006,42340.43
09.03.2006,42863.37
10.03.2006,42521.94
13.03.2006,44345.95
14.03.2006,42906.72
15.03.2006,43236.71
16.03.2006,44051.34
17.03.2006,44688.12
20.03.2006,44426.27
21.03.2006,44399.44
22.03.2006,44328.8
23.03.2006,44531.22
24.03.2006,43273.94
27.03.2006,42710.46
28.03.2006,41742.09
29.03.2006,42507.02
30.03.2006,42941.7
31.03.2006,42911.32
03.04.2006,44028.4
04.04.2006,44070.94
05.04.2006,44088.59
06.04.2006,43710.59
07.04.2006,44284.17
10.04.2006,43099.34
11.04.2006,42890.29
12.04.2006,42505.02
13.04.2006,41919.25
14.04.2006,42212.03
17.04.2006,41860.66
18.04.2006,42864.85
19.04.2006,43732.47
20.04.2006,43872.79
21.04.2006,45075.89
24.04.2006,45278.39
25.04.2006,45352.51
26.04.2006,44745.54
27.04.2006,43752.02
28.04.2006,43880.43
01.05.2006,44030.35
02.05.2006,44413.62
03.05.2006,44647.82
04.05.2006,44251.44
05.05.2006,44212.76
08.05.2006,44712.89
09.05.2006,44563.26
10.05.2006,43598.99
11.05.2006,43713.19
12.05.2006,41970.8
15.05.2006,40268.68
16.05.2006,41044.06
17.05.2006,40439.24
18.05.2006,39643.68
19.05.2006,0
22.05.2006,36351.06
23.05.2006,37235.49
24.05.2006,36100.7
25.05.2006,36730.24
26.05.2006,38593.47
29.05.2006,38908.6
30.05.2006,37860.8
31.05.2006,38132.21
01.06.2006,38395.24
02.06.2006,39285.8
05.06.2006,37964.03
06.06.2006,37464.43
07.06.2006,36709.55
08.06.2006,35338.66
09.06.2006,34802.58
12.06.2006,34330.32
13.06.2006,32384.42
14.06.2006,32899.74
15.06.2006,33627.4
16.06.2006,34048.04
19.06.2006,34807.73
20.06.2006,34601.4
21.06.2006,33762
22.06.2006,34228.99
23.06.2006,33132.3
26.06.2006,31950.56
27.06.2006,32470.42
28.06.2006,33207.1
29.06.2006,34031.08
30.06.2006,35453.31
03.07.2006,35456.47
04.07.2006,36481.23
05.07.2006,35385.02
06.07.2006,35698.74
07.07.2006,36202.23
10.07.2006,36148.39
11.07.2006,35955.8
12.07.2006,35815.54
13.07.2006,35010.46
14.07.2006,33831.69
17.07.2006,32702.89
18.07.2006,33617.96
19.07.2006,33554.41
20.07.2006,35311.04
21.07.2006,34988.8
24.07.2006,34959.03
25.07.2006,35264.4
26.07.2006,35984.53
27.07.2006,36747.28
28.07.2006,36101.89
31.07.2006,36037.92
01.08.2006,35742.75
02.08.2006,35721.64
03.08.2006,35262.86
04.08.2006,36159.61
07.08.2006,35967.54
08.08.2006,36535.74
09.08.2006,37563.33
10.08.2006,37389.25
11.08.2006,37418.11
14.08.2006,37631.07
15.08.2006,37806.51
16.08.2006,38433.41
17.08.2006,37885.28
18.08.2006,37384.79
21.08.2006,37164.93
22.08.2006,37130.81
23.08.2006,37121.81
24.08.2006,36651.38
25.08.2006,36861.66
28.08.2006,36686.71
29.08.2006,36897.2
30.08.2006,0
31.08.2006,37285.94
01.09.2006,37414.94
04.09.2006,38139.07
05.09.2006,38180.02
06.09.2006,37689.67
07.09.2006,37457.04
08.09.2006,37371.99
11.09.2006,37172.63
12.09.2006,37624.54
13.09.2006,37774.59
14.09.2006,37478.65
15.09.2006,38143.91
18.09.2006,38245.87
19.09.2006,38345.1
20.09.2006,38275.02
21.09.2006,37790.82
22.09.2006,36390.01
25.09.2006,36084.24
26.09.2006,36432.37
27.09.2006,36818.73
28.09.2006,37268.21
29.09.2006,36924.86
02.10.2006,36983.89
03.10.2006,36830.44
04.10.2006,36389.72
05.10.2006,36917.37
06.10.2006,36737.62
09.10.2006,36885.89
10.10.2006,37449.23
11.10.2006,37660.37
12.10.2006,38316.92
13.10.2006,38486.09
16.10.2006,38997.95
17.10.2006,38456.75
18.10.2006,39743.83
19.10.2006,39823.94
20.10.2006,39643.76
23.10.2006,0
24.10.2006,0
25.10.2006,0
26.10.2006,40591.06
27.10.2006,40683.25
30.10.2006,40081.41
31.10.2006,40582.25
01.11.2006,40601.72
02.11.2006,39504.05
03.11.2006,39307.05
06.11.2006,39675.85
07.11.2006,40163.7
08.11.2006,39736.73
09.11.2006,39890.93
10.11.2006,39627.18
13.11.2006,39030.3
14.11.2006,39655.14
15.11.2006,39654.14
16.11.2006,39268.13
17.11.2006,38432.8
20.11.2006,38346.57
21.11.2006,38501.1
22.11.2006,37733.58
23.11.2006,38077.05
24.11.2006,37582.13
27.11.2006,38238.57
28.11.2006,37183.79
29.11.2006,38066.89
30.11.2006,38168.53
01.12.2006,38196.52
04.12.2006,37654.69
05.12.2006,38163.03
06.12.2006,38184.76
07.12.2006,39857.75
08.12.2006,39320.47
11.12.2006,39461.94
12.12.2006,39213.02
13.12.2006,38874.9
14.12.2006,39595.38
15.12.2006,40204.8
18.12.2006,39832.52
19.12.2006,39071.1
20.12.2006,38996.68
21.12.2006,39082.95
22.12.2006,39180.2
25.12.2006,38705.39
26.12.2006,38766.55
27.12.2006,38610.57
28.12.2006,39138.18
29.12.2006,39117.46
01.01.2007,0
02.01.2007,0
03.01.2007,0
04.01.2007,39006.27
05.01.2007,38435.15
08.01.2007,37832.05
09.01.2007,37083.09
10.01.2007,36629.89
11.01.2007,37640.38
12.01.2007,38138.21
15.01.2007,39042.95
16.01.2007,38888.47
17.01.2007,39218.09
18.01.2007,40256.29
19.01.2007,40201.14
22.01.2007,41246.95
23.01.2007,41250.09
24.01.2007,42035.52
25.01.2007,42122.68
26.01.2007,41846.38
29.01.2007,41397.38
30.01.2007,41357.49
31.01.2007,41182.55
01.02.2007,42301.96
02.02.2007,43112.53
05.02.2007,42700.51
06.02.2007,42501.42
07.02.2007,42099.02
08.02.2007,41645.21
09.02.2007,42185.46
12.02.2007,42025.89
13.02.2007,42551.57
14.02.2007,43256.3
15.02.2007,43813.73
16.02.2007,43636.19
19.02.2007,44252.94
20.02.2007,44061.48
21.02.2007,42888.58
22.02.2007,43829.12
23.02.2007,43591.72
26.02.2007,43736.78
27.02.2007,41773.98
28.02.2007,41430.99
01.03.2007,39588.24
02.03.2007,40550.34
05.03.2007,39729.4
06.03.2007,40230.78
07.03.2007,40406.51
08.03.2007,41406.85
09.03.2007,42056.32
12.03.2007,41978.34
13.03.2007,41665.97
14.03.2007,40501.85
15.03.2007,41195.2
16.03.2007,41819.84
19.03.2007,41922.21
20.03.2007,41817.66
21.03.2007,42419.39
22.03.2007,43239.83
23.03.2007,43408.71
26.03.2007,43263.64
27.03.2007,43097.1
28.03.2007,43079.51
29.03.2007,43666.17
30.03.2007,43661.12
02.04.2007,43542.2
03.04.2007,44309.25
04.04.2007,44660.68
05.04.2007,45714.06
06.04.2007,45845.24
09.04.2007,45889.23
10.04.2007,45339.77
11.04.2007,46105.8
12.04.2007,45566.09
13.04.2007,46044.18
16.04.2007,46697.07
17.04.2007,46621.49
18.04.2007,45634.02
19.04.2007,46308.09
20.04.2007,47355.82
23.04.2007,0
24.04.2007,47014.9
25.04.2007,48032.72
26.04.2007,47826.05
27.04.2007,46861.31
30.04.2007,44984.45
01.05.2007,43529.49
02.05.2007,44256.13
03.05.2007,45077.67
04.05.2007,44818.05
07.05.2007,44681.09
08.05.2007,44707.31
09.05.2007,45102.68
10.05.2007,45055.57
11.05.2007,44820.76
14.05.2007,45142.17
15.05.2007,44897.67
16.05.2007,45539.69
17.05.2007,45860.04
18.05.2007,46073.29
21.05.2007,46209.06
22.05.2007,46369.23
23.05.2007,46424.71
24.05.2007,46237.07
25.05.2007,46194.27
28.05.2007,46927.81
29.05.2007,47003.04
30.05.2007,46274.69
31.05.2007,47081.49
01.06.2007,46490.14
04.06.2007,46111.14
05.06.2007,46451.59
06.06.2007,45861.01
07.06.2007,44843.86
08.06.2007,44332.44
11.06.2007,44893.7
12.06.2007,44371.97
13.06.2007,44629.52
14.06.2007,44675.54
15.06.2007,45971.8
18.06.2007,46367.59
19.06.2007,46231.77
