Date,AKBNK,ARCLK,BIMAS,DOHOL,EKGYO,ENKAI,EREGL,FROTO,GARAN,ISCTR,KRDMD,KCHOL,KOZAL,MGROS,OTKAR,PGSUS,PETKM,SAHOL,SISE,HALKB,TAVHL,TKFEN,TOASO,TCELL,TUPRS,THYAO,TTKOM,ULKER,VAKBN,YKBNK
2015-06-19,8.02,14.35,47.15,0.64,2.8,5.04,4.48,34.2,8.52,5.69,1.55,12.25,26.55,20.75,86.35,25.4,3.73,10.2,3.36,12.4,22.2,4.55,17.65,12.2,66.55,9.04,7.1,18.75,4.34,4.0
2015-06-22,8.16,14.25,48.4,0.64,2.83,5.13,4.37,34.5,8.72,5.76,1.56,12.45,26.4,21.3,86.0,25.9,3.75,10.3,3.36,12.7,22.1,4.58,17.3,12.45,67.7,9.09,7.24,18.65,4.42,4.07
2015-06-23,7.99,14.2,48.0,0.63,2.82,5.11,4.44,34.45,8.55,5.7,1.6,12.5,27.0,21.2,85.9,25.5,3.88,10.4,3.35,12.55,21.9,4.62,17.25,12.6,67.9,8.95,7.2,18.45,4.37,4.03
2015-06-24,8.12,14.3,48.3,0.63,2.84,5.2,4.5,34.6,8.68,5.78,1.67,12.55,27.45,21.4,87.5,25.65,4.03,10.45,3.46,12.75,22.5,4.73,17.25,12.65,69.0,9.11,7.24,18.75,4.46,4.09
2015-06-25,7.95,14.25,48.35,0.62,2.76,5.15,4.43,35.0,8.56,5.72,1.67,12.45,28.2,21.4,86.0,25.5,4.0,10.3,3.49,12.5,22.45,4.68,17.15,12.65,68.25,9.16,7.05,18.75,4.37,4.04
2015-06-26,7.94,14.3,48.2,0.62,2.79,5.18,4.44,35.4,8.63,5.8,1.68,12.4,28.7,21.3,86.4,25.55,4.02,10.2,3.41,12.6,22.9,4.67,17.8,12.6,68.65,9.09,7.09,18.7,4.4,4.05
2015-06-29,7.77,14.1,47.4,0.6,2.73,5.06,4.35,34.8,8.38,5.71,1.61,12.3,28.75,20.85,84.9,24.55,4.04,10.0,3.31,12.2,22.25,4.59,17.8,12.25,66.95,8.84,6.95,18.25,4.3,3.98
2015-06-30,7.75,14.55,48.0,0.6,2.76,5.1,4.34,35.85,8.36,5.64,1.57,12.4,28.35,21.1,85.0,24.3,4.05,10.1,3.42,12.35,22.75,4.57,18.3,12.35,67.9,8.8,7.05,18.7,4.31,3.94
2015-07-01,7.61,14.45,48.15,0.6,2.69,5.03,4.27,35.3,8.25,5.61,1.56,12.35,28.6,20.6,84.35,24.4,4.1,9.95,3.41,12.15,22.15,4.57,17.9,12.3,68.35,8.89,6.93,18.35,4.23,3.88
2015-07-02,7.67,14.3,48.3,0.59,2.75,4.97,4.22,34.95,8.35,5.65,1.54,12.15,27.55,20.6,84.0,24.5,4.12,9.87,3.36,12.15,21.95,4.54,17.8,12.45,69.05,8.99,6.97,17.9,4.28,3.87
2015-07-03,7.58,14.15,48.35,0.59,2.7,5.01,4.21,34.5,8.25,5.55,1.52,12.2,27.05,20.35,83.15,24.5,4.26,9.82,3.15,12.1,21.9,4.46,17.4,12.4,68.15,8.81,6.95,17.5,4.22,3.85
2015-07-06,7.77,14.25,48.35,0.6,2.76,5.04,4.25,34.85,8.45,5.7,1.55,12.25,27.5,20.55,83.9,25.2,4.28,9.96,3.21,12.3,22.05,4.55,17.85,12.6,68.35,9.15,7.03,17.35,4.31,3.93
2015-07-07,7.62,14.15,47.7,0.61,2.72,5.04,4.2,34.5,8.32,5.58,1.54,12.1,27.0,20.65,84.55,24.9,4.15,9.86,3.2,12.05,21.45,4.47,17.9,12.5,67.55,9.18,7.06,17.2,4.24,3.89
2015-07-08,7.39,14.05,47.9,0.59,2.68,5.07,4.21,34.45,8.08,5.49,1.52,11.9,27.4,20.35,83.55,24.35,4.13,9.82,3.11,11.65,22.1,4.39,18.25,12.15,68.15,9.02,6.87,16.95,4.12,3.82
2015-07-09,7.7,14.25,48.1,0.6,2.75,5.16,4.28,34.6,8.3,5.65,1.54,12.3,28.15,20.65,84.95,24.85,4.23,9.95,3.14,12.15,22.6,4.5,18.7,12.5,69.0,9.29,6.98,17.25,4.25,3.91
2015-07-10,7.77,14.3,48.0,0.6,2.78,5.14,4.27,34.7,8.42,5.72,1.54,12.35,27.7,20.95,89.5,24.8,4.25,10.05,3.16,12.55,22.6,4.51,19.2,12.55,68.55,9.29,6.97,17.1,4.31,3.95
